object_id,current_aj,current_uemfc,finish_aj,finish_uemfc,remaining_aj,remaining_uemfc,current_fraction,remaining_fraction,dictamen,autor,orcid,copyright,licencia
SUN,4570000000,1297964088000000000,10000000000,2840184000000000000,5430000000,1542219912000000000,457/1000,543/1000,0,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
SOLAR_SYSTEM,4568000000,1297396051200000000,10000000000,2840184000000000000,5432000000,1542787948800000000,571/1250,679/1250,0,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
MILKY_WAY_ENV,13600000000,3862650240000000000,27200000000,7725300480000000000,13600000000,3862650240000000000,1/2,1/2,0,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
OBSERVABLE_RETURNED,13800000000,3919453920000000000,27600000000,7838907840000000000,13800000000,3919453920000000000,1/2,1/2,0,Juan Antonio Lloret Egea,0000-0002-6634-3351,© 2026. Todos los derechos reservados,CC BY-NC-ND 4.0
