symbol,value,unit,role,source,autoria
c,299792458,m·s⁻¹,velocidad de la luz en el vacío; constante definitoria SI,BIPM,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
G,6.67430e-11,m³·kg⁻¹·s⁻²,coeficiente metrológico de retorno gravitatorio local,CODATA 2022 / NIST,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
T_obs,435494880000000000,s,escala SV de referencia del dominio observable retornado; no procede de H0 ni de Omega_Lambda,Dominio de edades de la publicación principal,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
Mpc,3.0856775814913673e22,m,conversión megapársec en SI,IAU/SI convencional,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
M_Tierra,5.9722e24,kg,masa terrestre para banco local,valor astronómico de uso ordinario,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
R_Tierra,6.371e6,m,radio terrestre medio para banco local,valor astronómico de uso ordinario,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
M_Luna,7.342e22,kg,masa lunar para banco Tierra-Luna,valor astronómico de uso ordinario,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
r_Tierra_Luna,3.844e8,m,separación media Tierra-Luna,valor astronómico de uso ordinario,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
M_Sol,1.98847e30,kg,masa solar para banco heliocéntrico,valor astronómico de uso ordinario,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
UA,1.495978707e11,m,unidad astronómica,IAU/SI,Juan Antonio Lloret Egea | ORCID 0000-0002-6634-3351 | CC BY-NC-ND 4.0
